radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,250,2,7812,202018573,0,30.395203,59.860153,1000,18,1,1458925947,1492255925,0
LTE,250,2,7812,201484804,0,30.388744,59.831745,1000,4,1,1458925947,1505302593,0
LTE,250,2,7812,201490436,0,30.417251,59.851736,1721,27,1,1458925947,1506282848,0
LTE,250,2,7812,202065531,0,30.388870239258,59.848709106445,1000,1,1,1443957006,1443957006,0
LTE,250,2,7812,202058607,0,30.414962768555,59.833602905273,1000,1,1,1438333755,1438333755,0
LTE,250,2,7812,201487362,0,30.433993,59.853221,1000,7,1,1458925947,1485215404,0
LTE,250,2,7812,202003467,0,30.380630493164,59.828109741211,1000,1,1,1458385180,1458385180,0
LTE,250,2,7812,202058649,0,30.403415,59.848073,1000,46,1,1458925947,1505324118,0
LTE,250,2,7812,202072964,0,30.412216186523,59.814376831055,1000,1,1,1450426901,1450426901,0
LTE,250,2,7813,201220866,0,30.275827,59.887583,1000,2,1,1458925948,1546706878,0
LTE,250,2,7813,202024827,0,30.277633666992,59.888534545898,1000,1,1,1453828262,1453828262,0
LTE,250,2,7812,202072985,0,30.385549,59.832906,2402,84,1,1458925948,1505539153,0
LTE,250,2,7813,201231362,0,30.254949,59.889982,1754,39,1,1458925948,1552093926,0
LTE,250,2,7813,200975216,0,30.329818725586,59.884414672852,1000,1,1,1450097484,1450097484,0
LTE,250,2,7813,201216772,0,30.268213,59.890018,1000,11,1,1458925948,1548697514,0
LTE,250,2,7813,201217027,0,30.279107,59.88183,1907,114,1,1458925948,1573890013,0
LTE,250,2,7814,201220608,0,30.286334,59.849489,2035,73,1,1458925948,1583117100,0
LTE,250,2,7813,201222914,0,30.28038,59.898148,1000,6,1,1458925948,1481202401,0
LTE,250,2,7813,201231360,0,30.26252746582,59.888534545898,1000,1,1,1438604960,1438604960,0
LTE,250,2,7813,202024837,0,30.277633666992,59.889907836914,1000,1,1,1456316246,1456316246,0
LTE,250,2,7814,201353731,0,30.34838,59.829819,3790,23,1,1458925948,1506398157,0
LTE,250,2,7814,201346306,0,30.298828,59.853499,1000,2,1,1415817980,1552094134,0
